source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,rv_nb_transits,rv_chisq_pvalue,rv_renormalised_gof,phot_g_mean_mag,bp_rp,ruwe,distance_pc
4362227347148592512,261.9814210409465,-5.154533852558364,0.29226713740004195,0.08739369,-0.7252437971496526,0.08393853,-5.1952086771231265,0.06305556,,,,,,17.170198,1.9880581,1.0111507,3421.527335901763
4362228304923159936,261.9286042296105,-5.142570824850316,0.29151631477469564,0.12941475,-0.6956055878982565,0.12711833,-5.387578231265974,0.096648484,,,,,,17.993893,1.8926353,1.0125966,3430.339741955336
4362599360035508608,262.04768667850294,-5.178814923168573,0.29053272189607715,0.49429256,-0.6797171119995413,0.4697783,-5.254424121925871,0.396437,,,,,,19.814117,1.9039879,1.0028318,3441.9530904257235
4362651037078296448,261.9096829054804,-5.075436635375341,0.28944154649648435,0.73944265,0.1012431208648086,0.8223691,-5.276508731699087,0.575363,,,,,,20.071407,,1.0326447,3454.929024890856
4362660275553921280,262.0976287150031,-4.8760556193679845,0.2904537410238649,0.17544602,-1.5590607095159417,0.20006405,0.29410881442714026,0.13640133,,,,,,18.55078,1.6265926,1.0185605,3442.889034498047
4362227622026505216,261.9673559547408,-5.1338231777684005,0.2896658223132664,0.16277213,-0.4439970159582375,0.13977121,-5.373753745261622,0.1166475,,,,,,17.942778,1.6660919,1.0581232,3452.2540215963927
4362275760016355200,261.88507521748863,-5.084842319520734,0.2912819215135255,0.3648038,0.3979653373511737,0.38364744,-4.85783291612485,0.2810882,,,,,,,,0.9951519,3433.1001210233558
4362604032956022016,261.93530379536327,-5.088636206479878,0.28919055726129006,0.31819963,0.1508812118489363,0.30242437,-4.934330636862574,0.23489653,,,,,,19.276064,,1.0526042,3457.927566758267
4362224353553166336,261.9889092257842,-5.170291250615647,0.28931891812119537,0.15214632,-0.2884190071350334,0.15002386,-4.952603647107912,0.112551615,,,,,,18.137213,1.8286037,1.0500504,3456.393403147945
4362599768053220736,262.0512976468618,-5.146365787014042,0.28979411281894524,0.5350446,-2.9736382412288482,0.4943678,-4.726374439844147,0.40980202,,,,,,19.941807,1.7159119,0.9939086,3450.7257248002493
