Cluster,RA_hms,DEC_dms,Straal_arcmin,Afstand_pc
NGC 6366,17h27m44s,-05d04m47.5s,13.0,3500
NGC 3201,10h17m36.8s,-46d24m45s,18.0,5000
NGC 2298,06h48m59s,-36d00m30s,6.8,10800
NGC 288,00h52m45.5s,-26d35m51s,13.0,8900
NGC 5927,15h28m00.7s,-50d40m23s,6.0,7700
