source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,rv_nb_transits,rv_chisq_pvalue,rv_renormalised_gof,phot_g_mean_mag,bp_rp,ruwe,distance_pc
511264454422911872,26.448085186048136,61.23190126355026,0.4783834304052269,0.19924526,-0.9357184811717811,0.157308,-0.33918387255987803,0.16136543,,,,,,18.93189,2.075159,1.007409,2090.3734043483164
511192883090392320,26.54472530780572,61.11356673081783,0.4779040735510303,0.15020587,1.2795633466410645,0.12187893,-0.9997802182499056,0.12451024,,,,,,18.342981,1.5150814,1.242985,2092.4701322790056
511189137881610752,26.714381183124885,61.04591194580521,0.47686844338730927,0.6094475,-1.3675345674107886,0.51869947,1.3409782570244575,0.53247947,,,,,,20.462458,1.6537743,1.0421071,2097.0144153317497
511190894529192576,26.439917921367023,61.026115550758924,0.4764425998876989,0.36430934,-1.3113009352752965,0.29067722,-0.4514129763346134,0.31957734,,,,,,19.815346,1.9545231,1.0490369,2098.888722871774
511217175422837120,26.554255593549822,61.196408887179814,0.4774059766245831,0.0950344,-1.2424642746342576,0.076186486,-0.18869689763258263,0.08585782,,,,,,17.847904,1.6239338,0.97997886,2094.653290832947
511191062021180416,26.492836243321374,61.026941170721344,0.4768482775509615,0.41901085,-1.8584557740442091,0.34801763,0.20074650333740332,0.35203695,,,,,,20.08391,1.6496639,0.971644,2097.103097731392
511214564082757504,27.004011837351346,61.221823975810715,0.4773565326842466,0.39602315,-1.00172153922124,0.28621775,-0.29651158641978625,0.2960484,,,,,,19.959503,1.9696541,1.0434355,2094.8702521715827
511214602745769856,27.02442767092011,61.21828316213007,0.47695853101987495,0.046214797,2.678512867662427,0.030956477,-0.2641340490926081,0.034461387,,,,,,16.37937,1.7485571,1.0285659,2096.618332544994
511221642189009664,26.98547282544711,61.29823010022769,0.4756249751072029,0.19601841,-2.099783945532495,0.1423787,0.009919186552260243,0.1445159,,,,,,18.934933,1.7371521,1.0008192,2102.49682488731
511190310401314560,26.5874334884786,61.01373875191679,0.4750944739024942,0.4906866,-1.0091511186392923,0.40255636,1.0169389038790468,0.41385132,,,,,,20.241838,2.0024776,0.99112225,2104.84452026111
511216556950524416,26.732567069214,61.17851626850585,0.4770330433274197,0.5614243,0.9495370152898022,0.4890651,-1.0250438271764513,0.49966365,,,,,,20.40099,2.1062813,1.0215302,2096.2908418770335
511240230809867648,26.412333197002056,61.13272293668837,0.47714031959318687,0.24857989,-0.8130609742111335,0.1913951,0.6408372422526906,0.20870414,,,,,,19.222057,1.8722,1.0349387,2095.8195292584096
511212811735802624,26.769833893740454,61.1043544975982,0.4770339811632769,0.28965726,4.016622815618049,0.21468213,-0.6322634377766567,0.22652893,,,,,,19.436949,2.3135262,1.0270851,2096.2867206261453
511216007191554432,26.6929439601319,61.13260639277597,0.4776119017477522,0.21632878,-1.3551987869167559,0.1599155,-0.46015990501733506,0.15816766,,,,,,18.969913,2.236929,1.0371029,2093.750168998393
511216561250913024,26.73213546499045,61.183467011589336,0.47759222579034133,0.08642209,-3.1054743327303216,0.06788003,-0.026407979488711278,0.0725525,,,,,,17.682407,1.6124153,1.0179672,2093.8364278127738
511193157965537920,26.50602222912555,61.12832693572007,0.4753925245938837,0.3598126,-3.4945772957094694,0.28767332,-1.7715097007835667,0.30539003,,,,,,19.762476,2.3841934,1.0826877,2103.5248731651295
511233083979424640,26.16917282189839,61.04866870108576,0.47617419447147724,0.16694716,-0.38024075156123593,0.12577565,-2.333669778464855,0.12233476,,,,,,18.624172,1.9698887,1.0174125,2100.071804835908
511241197184327424,26.366714624477158,61.18989943653298,0.4744871576984628,0.061028305,-2.2458860895552273,0.044935577,1.493456766884502,0.048113063,,,,,,17.072565,1.7897415,0.9990041,2107.53859988662
511244736230606208,26.208915618035043,61.24224149976725,0.47589054917053336,0.38862717,-0.728415796726692,0.29776737,0.6258439861606939,0.28837177,,,,,,19.818134,,1.0232103,2101.3235117675226
511189313977023232,26.75747780827595,61.07569606845652,0.47632918893320747,0.07183808,2.0213213336017284,0.05586191,-1.3941887424302863,0.060996033,,,,,,17.28651,1.5986195,1.0252242,2099.388454945648
511238104808032384,26.2931597128367,61.060614795277196,0.4753399917700681,0.19255562,0.3294717827967589,0.15301336,0.6006049115544079,0.14383677,,,,,,18.949678,1.716444,1.0074444,2103.757346980645
511240647428819968,26.52904861407431,61.18637141729932,0.4783764441000022,0.049284477,-3.5936297831139434,0.037633117,0.4528645168863826,0.039874826,,,,,,16.627773,1.6477871,0.97192454,2090.4039325794124
511267237561934976,26.582612460467637,61.3918862832124,0.47660623768639676,0.18415637,-0.950047437817702,0.12702255,-1.915674772677058,0.13900332,,,,,,18.753824,2.2233124,1.0107778,2098.168091240955
511265966251842688,26.464397321905913,61.32928342326064,0.47449080841689073,0.2576339,0.13329810206055392,0.2019151,-0.9769384244154233,0.20403136,,,,,,19.220465,2.4172802,0.99562114,2107.5223845461583
511241776995585664,26.388290957813354,61.228392274193595,0.47493830523501546,0.1968765,-1.1635802305809417,0.14361145,-2.761121419412349,0.14953123,,,,,,18.870583,2.1404018,1.0519177,2105.5366328162695
511246449917951744,26.135922977908972,61.353308675608794,0.47508074947665047,0.11603608,-0.18746389067264516,0.08480503,-0.8468431903068935,0.088627346,,,,,,18.14121,1.6917534,0.975508,2104.9053263084247
511213503234202496,26.83638913687093,61.17713641152116,0.47695393668588804,0.062859505,3.7284224291725536,0.044985775,-0.05042955861004408,0.04962961,,,,,,16.99832,2.0001087,1.0313157,2096.638528551614
511216458171695488,26.818856764109814,61.18262962165648,0.47571592692162923,0.08676166,2.3497758189908153,0.06432129,-0.8621854384007618,0.06757347,,,,,,17.615162,1.8535271,0.97631544,2102.094849905546
511269062933286400,26.371725368954994,61.340906395953354,0.4744488598987885,0.23807752,-1.2610782835474554,0.17256123,-0.7042195201354507,0.18247077,,,,,,19.123652,2.2121754,0.98295623,2107.708721680403
511266653446325760,26.533123936804127,61.33013795269303,0.4748142702699104,0.21551469,2.5834597446281813,0.15858383,-1.0756713240314815,0.16820225,,,,,,19.053173,1.7418194,0.9956185,2106.086658750895
511268405793268224,26.541034457595895,61.454789251887775,0.4763190374842072,0.22615059,-1.7186166880307883,0.15237473,0.05417903504740377,0.17398483,,,,,,19.159504,2.4392986,1.0265812,2099.4331977191987
511268440153006336,26.503811507054508,61.44127541803512,0.4749010797385527,0.40655804,-1.445424828997537,0.28401446,-0.4422295930287732,0.31288558,,,,,,19.845686,2.3279686,1.0775204,2105.7016769692964
511269062933286784,26.36532611641958,61.3399014227013,0.4768732385042224,0.08909633,-0.8763399831693683,0.065091126,-0.20341372530940077,0.072377,,,,,,17.660181,1.7644596,0.998477,2096.9933291636066
