source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,rv_nb_transits,rv_chisq_pvalue,rv_renormalised_gof,phot_g_mean_mag,bp_rp,ruwe,distance_pc
3029136809198637312,115.66955209894907,-15.121507019945513,0.6690490571768889,0.6314168,-1.2964873693100842,0.4478885,2.2428954827760412,0.5337174,,,,,,20.122034,1.2761478,0.98991126,1494.658708913794
3029152747819752448,115.4894439252286,-15.038863069685165,0.6687386107092843,0.017089605,-3.950709820699283,0.014965037,0.43777833848218395,0.014900964,,,,,,12.18165,0.22108841,0.8677485,1495.3525697273108
3029156080714522368,115.636989250153,-15.002277203387115,0.6703610917178612,0.5220567,2.0113728173128043,0.4257446,1.5739161152789678,0.47712287,,,,,,19.962517,1.7133961,1.0105909,1491.7333543887655
3029156703490735616,115.66283292736291,-14.953048616733817,0.6635321523408128,0.09817687,-3.8707332131195957,0.080137275,0.4906630406313774,0.08011653,,,,,,17.661877,1.3263321,0.99819034,1507.0859738630509
3029159516688513024,115.63141596214003,-14.964831011311542,0.6631702988453024,0.10559361,-3.7953746023052073,0.08805724,-0.06412658233889373,0.08931157,,,,,,16.37237,1.1746473,2.0965343,1507.908303102805
3029160032084588672,115.5278134499863,-14.963646483608166,0.6713349818196264,0.12179655,-2.2536415975650486,0.102133535,0.3159180629277848,0.10820791,,,,,,17.796602,1.6887321,0.96998096,1489.5693313784132
3029174669331640832,115.20014293355942,-15.132650813097413,0.6675030563939723,0.19703706,-1.168810625065265,0.16852355,0.34562805506154626,0.18717235,,,,,,18.876871,1.8120289,0.99524516,1498.1204811289763
3029179277835614080,115.18653068657777,-15.044116418822192,0.6659576352974952,1.3469489,-0.18462158822904667,0.8851091,0.7238722420380085,1.1047766,,,,,,20.702833,1.2066364,1.0103651,1501.5970190855792
3029180510488554624,115.15687365742431,-14.98545016457494,0.6689830860659481,0.46461532,-1.6925009705023746,0.32973662,0.1984221439792335,0.31448537,,,,,,19.66356,1.3102932,1.0426186,1494.8061032165174
3029205902335673216,115.369856974344,-14.853335099197826,0.6711042724521745,0.12077169,-3.862569880828381,0.080431335,0.4395048900999995,0.08243133,,,,,,17.389866,1.3202229,0.96576595,1490.0814091766401
3029206903068802304,115.344509403887,-14.834812365822327,0.6709979219330804,0.123228565,-1.928221642128721,0.09648937,-0.29596002525124554,0.09348745,,,,,,16.53785,1.1557684,1.8827988,1490.3175811917515
3029206933129573632,115.34189884914207,-14.821826253445668,0.6703478135709557,0.29156765,-0.9958329530457238,0.20062523,1.019259118198114,0.21264367,,,,,,18.873055,1.0100002,1.0499908,1491.7629024147639
3029207109227299072,115.28273278208076,-14.822526470589692,0.667798805614708,0.068839684,-4.0106773959780675,0.052928314,0.641237030098148,0.052583918,,,,,,12.34887,0.2599535,3.1995525,1497.4570059009034
3029211743490269952,115.4110130621454,-14.846394889815567,0.6664278236261535,0.020653939,-3.5560809611789788,0.017464442,0.41457835326386017,0.017260484,,,,,,12.365151,0.24349976,0.9697394,1500.5375894403994
3029211782151597312,115.38803500682215,-14.836873687661576,0.6698901523414961,0.019634394,-3.9090768116397228,0.016777916,0.49248714368110763,0.016670253,21.48795,17.263645,17,0.11819103,-0.31743923,11.908732,0.2640772,0.8333864,1492.7820576323695
3029212950382688896,115.37068787024653,-14.793466950030721,0.6657524840773631,0.021184897,-3.911051221917023,0.018549534,0.4526604174121112,0.018360008,68.37131,12.851356,15,0.0,18.060333,10.70751,0.33161545,0.9304363,1502.0597352871403
