source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,rv_nb_transits,rv_chisq_pvalue,rv_renormalised_gof,phot_g_mean_mag,bp_rp,ruwe,distance_pc
4365646171178635776,254.4307947416055,-4.084560072522113,0.22685433027664498,0.2325482,-5.118201227262248,0.2644649,-6.820237138459619,0.19519389,,,,,,18.847542,1.0509892,0.9958905,4408.115105321186
4365617412077219200,254.36234358383237,-4.204267744551808,0.22726198237203143,0.2964888,-5.293308576371582,0.31186047,-6.840359870547414,0.2293657,,,,,,19.084879,1.0019855,1.0947284,4400.208031112676
4365622364173454080,254.36809694425347,-4.1248650104321785,0.22698831737572495,0.40801662,-5.040579704340361,0.44467428,-7.007542638865838,0.2889372,,,,,,19.486986,1.1429539,0.99794996,4405.513074687183
4365622256801661568,254.32344526083207,-4.139620461834415,0.22790623452666828,0.1023443,-4.5456060614638085,0.106748395,-6.648813966273393,0.077741995,,,,,,17.523056,1.1838589,0.97506756,4387.769391552059
4365622295462638208,254.3323442707768,-4.12739766032605,0.22809654793508127,0.04205864,-5.171599375516267,0.04305642,-6.63717028371192,0.030617908,,,,,,15.623828,0.30451107,0.99176335,4384.108435891852
4365623223167515648,254.32845314508464,-4.102957804608752,0.22756051743287142,0.2345297,-3.308209269258305,0.22637506,-8.045880380412976,0.18002963,,,,,,18.307966,1.0135345,1.3044245,4394.435428786508
4365623253234181888,254.33171769149726,-4.094938566777756,0.22685412921193773,0.28300396,-5.3944149039740905,0.3030592,-5.602714559463003,0.2649056,,,,,,18.640947,1.0436707,1.238389,4408.119012309241
4365623528112076160,254.31365331314254,-4.079765138322492,0.22600727655059144,0.029241912,-4.30555726770809,0.027961286,-6.968849338801369,0.022366185,,,,,,13.122987,1.5472145,1.9436564,4424.6363004872155
4365635249077081216,254.2948374450573,-4.082834568120172,0.2285924195614508,0.130552,-5.064485289692058,0.14437518,-6.677898251959713,0.12904505,,,,,,17.486084,1.1015339,1.2528292,4374.598256225979
4365635661394112768,254.31231194742276,-4.06228603450391,0.2262551554817468,0.38252535,-4.756459835301855,0.36159125,-6.4583498234241,0.2941683,,,,,,19.185236,1.1561413,1.0552548,4419.788790539516
4365646205538396928,254.45186635890636,-4.0776369453031105,0.22679731272225406,0.14019874,-4.570145539968925,0.15146302,-6.656973079201478,0.11710796,,,,,,18.194,0.97571945,0.9653524,4409.223319257949
4365618545950956672,254.47607979876506,-4.170249161392114,0.22633778483128214,0.6388054,-4.041143962734406,0.71960413,-1.682536187274252,0.51738715,,,,,,20.27014,0.94737816,1.008571,4418.175254058553
4365633565450588928,254.21982228847978,-4.115383760465886,0.22810514260291873,0.13022323,-4.753092041489634,0.13497841,-6.268222076962368,0.10560124,,,,,,17.869427,0.93548775,1.0300529,4383.943249104128
4365633874688496896,254.2194836599456,-4.098305143471237,0.22751343470421842,0.33387268,-5.0950208057795034,0.31032807,-6.956469582957055,0.24359198,,,,,,19.1136,1.0328121,1.0488694,4395.344834471257
4365634974206625024,254.18312676241425,-4.061509819606721,0.22626093838488676,0.778469,-4.335630656437602,0.8256443,-6.859114867339569,0.63316303,,,,,,20.316492,1.1075687,1.0322272,4419.675827114821
4365635523955888768,254.2633608019837,-4.064923180830867,0.22672456317119727,0.49509004,-5.586386486863115,0.68308663,-6.257022261709492,0.44211164,,,,,,18.565722,0.94950294,2.2490659,4410.638115310474
4365623085728600704,254.3024493707371,-4.121941625830054,0.2260986829280453,0.25261864,-4.562869706240227,0.23744309,-6.598973270742157,0.1911255,,,,,,18.003782,,1.18963,4422.847524141681
4365636348589944192,254.23796026456117,-4.04366696315902,0.22689067006813926,0.2715661,-5.310203462391965,0.29853293,-7.419210507818588,0.23390372,,,,,,18.80499,1.0937405,0.988364,4407.409082531611
4365659915074298112,254.39528933096554,-3.9726181177344784,0.2262223518091529,0.3235386,-4.41030099657868,0.36111882,-6.849452605610979,0.29060966,,,,,,19.517733,1.037405,0.954386,4420.4296878834775
4365620165154429696,254.2792391674517,-4.204448136120447,0.22717432026639373,0.8201151,-4.636377000671943,0.8033223,-6.6175561815153685,0.5807669,,,,,,20.465118,1.2153072,1.0610979,4401.905984916604
4365635695757898880,254.32306263914964,-4.042360687105082,0.22616158447545315,1.2153722,-4.739664805263654,1.1936444,-5.645049589993788,1.1117928,,,,,,20.60383,1.2045631,1.0836477,4421.617412697853
4365661152024997248,254.36565556854552,-3.9125853595733076,0.2266477783605103,0.19966303,-4.9919011525663315,0.2573902,-6.667121283771163,0.18367854,,,,,,18.682892,0.98729897,0.99002,4412.132372236982
4365607486415256448,254.22560966107216,-4.3923644346415935,0.2275620562555363,0.12887819,-2.974116931961347,0.15179934,-5.940521472817735,0.10637011,,,,,,17.946314,1.2018986,0.96095437,4394.405712686433
4365614701955455360,254.1229735190032,-4.231348710205108,0.22664592845740428,0.4785754,1.1261642511085843,0.5109371,-3.7555881795088455,0.36398488,,,,,,19.789146,1.6279049,1.0023094,4412.168384432017
4365618923905789568,254.39081130797953,-4.181822842415286,0.22848076334036516,0.47223067,-4.698636920383976,0.4908312,-7.218896759202749,0.35797727,,,,,,19.846731,1.1169987,1.0135462,4376.736077821622
4365624047802158336,254.33902307895653,-4.054820366767598,0.22607538223791876,0.21819969,-4.555970409937516,0.2224524,-6.594490943625267,0.17000827,,,,,,18.465136,1.0295391,1.0336511,4423.303369438134
4365620749274393344,254.30699365817563,-4.161760598177574,0.22698852349477328,0.20317198,-4.130001868185163,0.21404988,-6.7389978744712975,0.16178727,,,,,,18.520575,1.0074692,0.98186594,4405.509074219897
4365620783625669120,254.3120927585329,-4.1472005020916445,0.22615667493323852,0.23720571,-5.028293972363738,0.24373414,-6.793568231012939,0.1586249,,,,,,18.518198,1.062355,1.0612931,4421.713399771199
4365621883138688128,254.26511836001092,-4.112690182620527,0.22845764858316533,0.26022893,-5.580036805994428,0.30405506,-5.7418109698955435,0.2433768,,,,,,18.369726,0.9862137,1.4077287,4377.178904719272
