source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,rv_nb_transits,rv_chisq_pvalue,rv_renormalised_gof,phot_g_mean_mag,bp_rp,ruwe,distance_pc
6029391402173935232,255.51195452732637,-29.97939466633572,0.14691590736497534,0.16689062,-0.4821728017853175,0.2057643,-3.3576815234287545,0.12454246,,,,,,18.293316,1.0658989,1.017449,6806.6148719740295
6029350067377226752,255.31592365760017,-30.27875969888786,0.1469691355880721,0.26497602,-0.8297855779159731,0.3940082,-5.322769080098206,0.23253132,,,,,,19.007328,1.3494759,1.040385,6804.149701219031
6029362196450340096,255.27635390765496,-30.230370683067772,0.14691432332027438,0.47851473,-21.979842082159546,0.63712585,-21.436595078747125,0.42125246,,,,,,19.765783,1.3761196,0.9741889,6806.688261565839
6029352021580415488,255.43851079661678,-30.202721768807788,0.14686061843190218,0.036975496,-5.815747834819891,0.044063002,-7.528041051779808,0.027833207,,,,,,15.536624,2.0101728,0.94872516,6809.17737292309
6029366903761932800,255.07795374441193,-30.179917955469485,0.14708223166759285,0.05999992,-6.576071326506875,0.078826874,-5.688746920196682,0.053046163,,,,,,16.638975,1.6006794,0.92236483,6798.91777995325
6029356527011904640,255.11471236564756,-30.297017323305322,0.14714813323262607,0.5245841,-5.60007128439959,0.7643398,-6.871686107799812,0.46085918,,,,,,19.818312,1.3445415,1.017474,6795.872825780962
6029359963066171776,255.08541775688877,-30.234276858717408,0.14715643640911144,0.04805064,-0.1895125376710947,0.063508414,-0.28057632917855724,0.03909683,,,,,,16.193678,1.9617243,0.9873624,6795.489374449701
6029362982336886912,255.24364210258662,-30.21520167471978,0.14738478751085432,0.049997263,-3.809186320007368,0.06291155,-4.907623589504578,0.042366434,,,,,,16.162169,1.905159,0.9758957,6784.9607608000515
6029362986647360256,255.24228452819386,-30.212393148520476,0.14736677895203454,0.9426504,-2.101255291388993,1.7398626,-7.441522184030832,1.1818868,,,,,,20.165884,1.5983639,0.99428815,6785.789898586869
6029348727429128960,255.39268762685498,-30.329091578147924,0.14711245038842352,0.055860974,-3.4316768881487514,0.065721214,-5.9831054788714395,0.045500595,,,,,,16.457201,1.6254826,0.97505236,6797.521197965793
6029376249585335296,255.4763332996725,-30.131643131408772,0.14749638854812572,0.032164052,-1.1198667507685625,0.040676177,-4.269147418883374,0.026338654,-7.116723,2.1235287,30,,,15.178408,2.229372,0.96294045,6779.827017077886
6029349826941246464,255.3501625786117,-30.293918505512114,0.14724514818124074,0.6613156,4.3974625603404585,0.9656168,-1.69831430837541,0.56505805,,,,,,20.192844,2.2623463,1.069529,6791.395250382869
6029352262098642048,255.39203116370595,-30.192526528480865,0.14751226992888977,0.17064148,1.9679017462403954,0.20505147,-0.047206993162607284,0.12607056,,,,,,18.323586,1.4933395,0.94699895,6779.097091259345
6029351957164387840,255.44580316848595,-30.216390816797787,0.1469401564365591,0.6185433,-1.175150223767155,0.96636575,-4.384737835840757,0.5181418,,,,,,20.011515,,1.0026151,6805.491597742694
6029351854165840000,255.40184290681054,-30.230051617036306,0.14720896077943066,0.08826912,-4.251774120958623,0.11004408,-6.031579028620916,0.07237013,,,,,,17.213434,1.9680347,0.99581105,6793.064734003128
6029351510488171136,255.3393549450107,-30.270203859540125,0.14694455598925157,0.98443663,-4.9987535066209885,1.6101077,-4.978230583203203,0.9850827,,,,,,20.530104,,1.0089754,6805.287839810453
6029351579204741760,255.33061936848594,-30.252592696369454,0.14663616623520961,0.5810355,-3.977183409091915,0.76962703,-3.6648525777238854,0.54717255,,,,,,19.766968,,1.1705738,6819.600005062629
